code	ko	ja	en	tc	sc
782	[c][FFFFFF7D]사정 거리[-][/c]	[c][FFFFFF7D]射程距離[-][/c]	[c][FFFFFF7D]Range[-][/c]	[c][FFFFFF7D]射程[-][/c]	[c][FFFFFF7D]射程[-][/c]
783	[c][FFFFFF7D]AP 소모[-][/c]	[c][FFFFFF7D]AP消費[-][/c]	[c][FFFFFF7D]AP Consumed[-][/c]	[c][FFFFFF7D]消耗AP[-][/c]	[c][FFFFFF7D]消耗AP[-][/c]
784	{0} 파괴량을 정해주세요	{0}の廃棄量を決めてください	Decide how many {0} you want to destroy.	請設定{0}破壞量	请设定{0}破坏量
785	[c][f0f0b3]{0}[-][/c] 전투원의 호감도가 상승했습니다.	戦闘員[c][f0f0b3]{0}[-][/c]の好感度が上昇しました。	[c][f0f0b3]{0}[-][/c]’s Affinity has increased.	[c][f0f0b3]{0}[/c]戰鬥員的好感度上升了。	[c][f0f0b3]{0}[-][/c]战斗员的好感度增加了。
786	[c][f0f0b3]{0}[-][/c] 전투원의 경험치가 [c][f0f0b3]{1}[-][/c] 상승했습니다.	戦闘員[c][f0f0b3]{0}[-][/c]の経験値が[c][f0f0b3]{1}[-][/c]上昇しました。	[c][f0f0b3]{0}[-][/c]’s EXP has increased by [c][f0f0b3]{1}[-][/c].	[c][f0f0b3]{0}[-][/c]戰鬥員的經驗值上升了[c][f0f0b3]{1}[-][/c]。	[c][f0f0b3]{0}[-][/c]战斗员的经验增加[c][f0f0b3]{1}[-][/c]。
787	판매 중인 상품이 없습니다.	販売中の商品はありません。	There are no products for sale.	目前沒有正在出售的商品。	目前没有出售的商品。
788	자원 탐색 중인 스쿼드는 편집할 수 없습니다.	資源探索中の分隊は編集できません。	Cannot change Squad members while the Squad is exploring for resources.	無法編輯正在探索資源的小隊。	无法编辑正在探索资源的小队。
789	정보창으로	情報ウインドウへ	Go to Info Page	前往資訊視窗	信息窗口
790	적합률 : [c][f0f0b3]{0}%[-][/c]	適合率：[c][f0f0b3]{0}%[-][/c]	Suitability: [c][f0f0b3]{0}%[-][/c]	合適率：[c][f0f0b3]{0}%[-][/c]	合适率：[c][f0f0b3]{0}%[-][/c]
791	더 이상 확장할 수 없습니다.	これ以上拡張できません。	Cannot be expanded any further.	無法繼續擴充。	无法继续扩充。
792	해 제	解除	Remove	解 除	解 除
793	공지	告知	Notice	公告	公告
794	점검	メンテナンス	Maintenance	維護	维护
795	이벤트	イベント	Event	活動	活动
796	반복 전투는 클리어 스테이지만 가능합니다.	反復戦闘はクリアステージのみ可能です。	Repeated combat is only possible in Clear Stages.	反覆戰鬥只能在已通關的關卡中使用。	反复战斗只能在已通过的关卡中使用。
797	구글 계정과 연동 되어 있습니다.	Googleアカウントと連携されました。	Connected with your Google account.	已連動 Google 帳戶。	已绑定Google账号。
798	소개말은 30자 제한 입니다.	自己紹介は30文字に制限されています。	Introduction must be less than 30 characters.	簡介最多可以輸入30個字。	简介最多可以输入30个字。
799	전투 시뮬레이션 중에는 스쿼드 변경을 할 수 없습니다.	戦闘シミュレーション中は分隊変更ができません。	Cannot change Squad while in combat simulation.	戰鬥模擬中不能變更小隊。	战斗模拟中不能改变小队。
800	장착 가능한 장비가 없습니다.	装着可能な装備がありません。	There is no gear that can be equipped.	目前沒有可配戴的裝備。	目前没有可佩戴的装备。
801	유효 사거리 밖입니다.	有効な射程距離外です。	It is out of the effective range.	超出有效射程。	超出有效射程。
802	적용 중인 효과 없음	適用中の効果無し	There is no active effect.	目前沒有套用任何效果	目前没有应用任何效果
803	배치됨	配置されました	Assigned	已配置	已部署
804	연구 필요 조건을 만족하지 못했습니다.	研究必要条件を満たせませんでした。	You have not satisfied the Research Conditions.	未達成研究所需條件。	未满足研究所需条件。
805	소개말이 등록되었습니다.	自己紹介が登録されました。	Introduction has been registered.	已登錄簡介。	已保存简介。
806	정지기간 :	停止期間：	Ban Period:	限制使用期間：	停止期间：
807	까지	まで	Until	到為止	到为止
808	잠시 후 반복전투가 시작됩니다	間もなく反復戦闘が開始されます。	Repeated Combat will begin soon	稍後將開始進行反覆戰鬥	稍后开始反复战斗
809	반복전투 종료	反復戦闘終了	End Repeated Combat	反覆戰鬥結束	反复战斗结束
811	지원 스쿼드의 유일한 전투원이어서 해제 또는 다른 스쿼드에 배치할 수 없습니다. 	支援分隊の唯一の戦闘員であるため解除または他の分隊に配置できません。	Selected soldier cannot be removed or assigned to another Squad because they're the only soldier in the Support Squad.	這是支援小隊中唯一一個戰鬥員，所以無法解除或配置於其他小隊。	这是支援小队中唯一一个战斗员，所以无法解除或部署至其他小队。
812	정보 없음	情報無し	No Details	無資訊	无信息
813	[c][FFBA29FF]{0}[-][/c]이(가) 부족해 진행할 수 없습니다	[c][FFBA29FF]{0}[-][/c]が不足しており行えません。	Cannot continue because you do not have enough [c][FFBA29FF]{0}[-][/c].	因[c][FFBA29FF]{0}[-][/c]不足，無法進行	因[c][FFBA29FF]{0}[-][/c]不足，无法进行
815	강화 포인트가 모자라 선택할 수 없습니다.	強化ポイントが足りないため選択できません。	Cannot be selected due to lack of Upgrade Points.	強化點數不足，無法選擇。	强化点数不足，无法选择。
816	더 이상 탐사를 보낼 수 없습니다.	これ以上探索を送れません。	Cannot carry out any more Explorations.	無法再次派去探查。	无法再次派去探查。
817	"아래 메일로 문의 부탁 드립니다.
E-mail : game_service@piggames.support"	"下記メールに問合せ願います。
 E-mail : lao_support_jp@studio-valkyrie.com"	"Please send your inquiry to the email below.
E-mail: last_origin@smartjoy.co.kr"	"請透過以下電子郵件與我們聯繫。
E-mail：last_origin@smartjoy.co.kr"	"请通过以下电子邮件与我们联系。
E-mail：last_origin@smartjoy.co.kr"
818	한 번에 분해할 수 있는 전투원 수가 가득 찼습니다.	一度に分解できる戦闘員の数が上限に達しました。	The number of soldiers that can be dismantled together has reached its limit.	可同時分解的戰鬥員人數已達到上限。	可同时分解的战斗员人数已达到上限。
819	한 번에 분해할 수 있는 장비 수가 가득 찼습니다.	一度に分解できる装備の数が上限に達しました。	The amount of gear that can be dismantled together has reached its limit.	可同時分解的裝備數量已達到上限。	可同时分解的装备数量已达到上限。
820	입장 티켓이 부족 합니다.	入場チケットが不足しています。	You do not have enough entry tickets.	入場券不足。	你的入场券不足。
821	자기 자신은 검색할 수 없습니다.	自分自身は検索できません。	You cannot search yourself.	無法搜尋自己。	无法搜索自己。
822	정보	情報	Info	資訊	信息
823	기본 자원 보상	- 基本資源報酬 -	Basic Resource Rewards	基本資源獎勵	基本资源奖励
824	추가 획득 보상	- 追加獲得報酬 -	Additional Rewards	額外獲得獎勵	获得额外奖励
825	추가 보상이 없습니다.	追加報酬がありません。	You have no additional rewards.	沒有額外獎勵。	没有额外奖励。
826	획득 보상이 없습니다.	獲得報酬がありません。	You have no rewards.	沒有獲得獎勵。	没有获得奖励。
827	{0} 라운드 지속	{0}ラウンド持続	Continue Round {0}	持續{0}回合	持续{0}回合
828	서버가 혼잡하여 입장이 지연되고 있습니다.	サーバーが混雑しており入場が遅延しています。	Entry is being delayed due to a crowded server.	伺服器混雜，已延遲登入遊戲。	因服务器繁忙，发生延迟。
829	입장 가능한 요일이 아닙니다.	入場可能な曜日ではありません。	You cannot enter today.	今天不是可入場的日子。	今天不是开启的日期。
830	입장 자원이 부족합니다.	入場資源が不足しています。	You do not have enough resources to enter.	入場資源不足。	你的入场资源不足。
831	입장 대기인원 {0}명	入場待機人員{0}名	Queue: {0}	入場等候人數{0}名	排队人数{0}名
832	카페가기	サイトに行く	Visit Website	前往論壇	去咖啡厅
833	장시간 응답이 없어 앱을 종료합니다.	長時間応答が無かったためアプリを終了します。	Exiting game due to inactivity.	長時間無回應，將結束應用程式。	长时间无响应，将结束应用程序。
834	접속 대기 중입니다.	接続待機中です。	Waiting to connect...	正在等候連接。	正在等待连接。
835	즉시	即時	Instantly	立即	马上
837	선물할 아이템이 없습니다.	プレゼントするアイテムがありません。	You have no item to give as a gift.	沒有可以送禮的道具。	没有可以送的道具。
838	[c][f0f0b3]{0}[-][/c] 전투원의 스킬 경험치가 [c][f0f0b3]{1}[-][/c] 상승했습니다.	戦闘員[c][f0f0b3]{0}[-][/c]のスキル経験値が[c][f0f0b3]{1}[-][/c]上昇しました。	[c][f0f0b3]{0}[-][/c]’s Skill EXP has increased by [c][f0f0b3]{1}[-][/c].	[c][f0f0b3]{0}[-][/c]戰鬥員的技能經驗值上升了[c][f0f0b3]{1}[-][/c]。	[c][f0f0b3]{0}[-][/c]战斗员的技能经验增加[c][f0f0b3]{1}[-][/c]。
841	한 번에 강화할 수 있는 장비 수가 가득 찼습니다.	一度に強化できる装備の数がいっぱいです。	The amount of gear that can be upgraded together has reached its limit.	可同時強化的裝備數量已滿。	可同时强化的装备数量已达到上限。
842	반복전투 취소	反復戦闘キャンセル	Cancel Repeated Combat	取消反覆戰鬥	取消反复战斗
843	사용 가능한 장비가 없습니다.	装着可能な装備がありません。	You have no gear that can be used.	目前沒有可使用的裝備。	目前没有可使用的装备。
844	전투 진입 준비 중입니다...	戦闘開始準備中です…	Preparing to begin combat…	正在準備進入戰鬥……	正在准备进入战斗……
845	자원 소모량 표기	資源消費量表示	Show Resource Consumption	顯示資源消耗量	显示资源消耗量
846	코어 링크된 전투원 표기	コアリンクされた戦闘員表示	Show Core Linked Characters	顯示已連結核心的戰鬥員	显示已核心链接的战斗员
849	강화 레벨이 최대인 장비여서 더 이상 강화할 수 없습니다.	強化レベルが最大の装備なのでこれ以上強化できません。	Selected gear cannot be upgraded because it is already at max Upgrade Level.	此裝備已強化至最高等級，無法繼續強化。	此装备已强化至最高等级，无法继续强化。
850	장 착	装着	Equip	配 戴	佩 戴
851	"교체할 장비는 현재 다른 캐릭터가 장착 중인 장비입니다.
그래도 장착 하시겠습니까?"	"交換する装備は現在他の戦闘員が装着中の装備です。
 それでも装着しますか?"	"The gear you wish to change to is currently equipped by another character.
Do you still want to equip the item?"	"你要更換的裝備是其他角色正在配戴的裝備。
是否確定配戴？"	"你要更换的装备是其他角色正在佩戴的装备。
是否确定佩戴？"
852	장착 장비	装着装備	Equipped Gear	配戴裝備	佩戴装备
853	교체 장비	交換装備	Exchanged Gear	更換裝備	更换装备
854	자원 탐색중	資源探索中	Exploring for Resources	探索資源中	探索资源中
855	스쿼드 슬롯 해제	分隊スロット解除	Unlock Squad Slot	解除小隊欄位	解除小队栏位
856	회원탈퇴	会員脱退	Withdraw Account	刪除會員	注销会员
857	"회원 탈퇴를 하는 경우 계정내 모든 데이터가 삭제 됩니다.
회원 탈퇴로 인한 데이터 초기화는 환불 대상이 아닙니다.
정말로 회원 탈퇴를 진행하시겠습니까?"	"退会する場合、アカウント内の全てのデータが削除されます。
 退会によるデータ初期化は払い戻しの対象にはなりません。
 本当に退会処理を行いますか？"	"Withdrawing your account will also delete all game data.
You will not be refunded for any loss caused by data being reset once the account is withdrawn.
Do you still wish to withdraw your account?"	"若註銷會員，所有帳號數據將被刪除。
因註銷會員而導致的數據重置將不予退款。
是否確定註銷會員？"	"如果注销会员，你的账号数据将全被删除。
因注销会员而导致的数据重置不予退款。
是否确定注销会员？"
858	"회원 탈퇴를 하여 삭제된 계정데이터는 다시는 복구할 수 없습니다.
정말로 회원 탈퇴를 진행하시겠습니까?"	"退会して削除されたアカウントデータは二度と復旧できません。
 本当に退会処理を行いますか？"	"Deleted game data due to your account being withdrawn cannot be recovered.
Do you still wish to withdraw your account?"	"因註銷會員而被刪除的帳號數據無法復原。
是否確定註銷會員？"	"因注销会员而被删除的账号数据无法恢复。
是否确定注销会员？"
859	경고!	警告！	Warning!	警告！	警告！
860	재료 선택	材料選択	Select Material	選擇材料	选择材料
861	모듈	モジュール	Module	模組	模块
862	획득 완료! 인벤토리를 확인해주세요.	獲得完了！アイテムを確認してください。	Acquired! Check your inventory!	獲得成功！請查看背包。	获得成功！请确认物品背包。
863	닉네임 변경	ニックネーム変更	Change Nickname	變更暱稱	更改昵称
864	{0}이 1개 필요합니다.	{0}が1個必要です。	You need 1 {0}.	需要1個{0}。	需要1个{0}。
865	"변경할 닉네임을 입력해 주세요.
변경 시 {0}이 1개 소모 됩니다."	"変更するニックネームを入力してください。
 変更時、{0}が1個消費されます。"	"Enter the new Nickname.
Cost for changing Nickname is 1 {0}."	"請輸入要變更的暱稱。
變更暱稱會消耗1個{0}。"	"请输入要更改的昵称。
更改昵称会消耗1个{0}。"
867	닉네임 변경이 완료 되었습니다.	ニックネーム変更が完了しました。	Nickname has been changed!	暱稱變更成功。	昵称更改成功。
868	닉네임 변경권이 없습니다.	ニックネーム変更券がありません。	You have no Nickname Change Ticket.	未持有暱稱變更券。	你没有昵称更改券。
870	교환소	交換所	Exchange Post	交換所	交换所
871	삼안 산업 물자 영업소	三安産業物資営業所	Sam'an Industry Outlet	三安產業物資營業部	三安产业物资营业部
872	이벤트 교환	イベント交換	Exchange Event	活動交換	活动交换
873	강화 재료	強化材料	Upgrade Material	強化材料	强化材料
874	제작 재료	製作材料	Creation Material	製造材料	制作材料
875	의상 처분	衣装処分	Costume Disposal	處理服裝	处理服装
876	의상 교환	衣装交換	Costume Exchange	交換服裝	交换服装
877	전투원/장비	戦闘員/装備	Soldier/Gear	戰鬥員／裝備	战斗员／装备
878	좌측 탭에서 교환할 의상을 선택 해주세요.	左側のタブから交換する衣装を選択してください。	Select the costume you want to exchange from the left tab menu.	請在左側頁面選擇要交換的服裝。	请在左侧选择要交换的服装。
879	선택된 의상을 하단에 표기된 교환권으로 교환합니다.	選択した衣装を下段に表記された交換券で交換します。	Selected costume can be exchanged with the Exchange Ticket shown at the bottom.	用下面顯示的交換券交換所選的服裝。	用下面显示的交换券交换所选的服装。
880	교환하기	交換する	Exchange	交換	交换
881	위의 내용으로 교환 하시겠습니까?	上の内容で交換しますか？	Do you want to exchange with the above?	是否如上進行交換？	是否如上进行交换？
882	교환수량	交換個数	Exchange Quantity	交換數量	交换数量
883	교환에 성공 하였습니다.	交換に成功しました。	Exchange has been successful.	交換成功。	交换成功。
884	교환 완료	交換完了	Exchange Complete	完成交換	完成交换
885	교환 실패	交換失敗	Exchange Failed	交換失敗	交换失败
886	교환에 필요한 자원이 부족합니다.	交換に必要な資源が不足しています。	You do not have enough resources for the exchange.	交換所需的資源不足。	交换所需的资源不足。
887	교환할 {0}의 수량을 선택 해주세요.	交換する{0}の数量を選択してください。	Select the quantity of {0} you want to exchange.	請選擇要交換的{0}數量。	请选择要交换的{0}数量。
888	이 상품으로 교환 하시겠습니까?	この商品と交換しますか？	Do you want to exchange with this product?	是否交換成此商品？	是否交换成此商品？
889	보유 의상	保有衣装	Owned Costumes	持有服裝	持有服装
890	교환 개수	交換個数	Exchange Amount	交換數量	交换数量
891	최대 교환 개수를 초과해 교환하실 수 없습니다.	最大交換個数を超えたため交換できません。	Cannot exchange because the max exchange amount limit has been exceeded.	已超出最大交換數量，無法繼續交換。	已超出最大交换数量，无法继续交换。
892	{0}	{0}個	{0}	{0}	{0}
893	{0} [c][f0f0b3]{1}개[-][/c] 교환에 성공 하였습니다.	{0}[c][f0f0b3]{1}個[-][/c]の交換に成功しました。	You have successfully exchanged {0} [c][f0f0b3]{1}[-][/c].	成功交換[c]{1}個[f0f0b3][-][/c]{0}。	[c][f0f0b3]{1}个[-][/c]{0}交换成功。
894	연결이 원활하지 않아 요청을 수행할 수 없습니다.	サーバーとの接続が円滑ではないため実行できませんでした。	Cannot process the request due to poor network connection.	連線不穩，無法完成請求。	链接不稳定，无法完成申请。
895	다시 접속	再度接続	Reconnect	重新連線	重新连接
896	연결이 원활하지 않아 진행할 수 없습니다. 타이틀 화면으로 돌아갑니다.	サーバーとの接続が円滑ではないため実行できませんでした。タイトル画面に戻ります。	Cannot continue due to poor network connection. Returning to title screen.	由於連線不穩，無法進行。將回到主頁面。	由于连接不稳定，无法进行。回到主页面。
897	이벤트 스테이지	イベントステージ	Event Stage	活動關卡	活动关卡
898	인벤토리가 부족해 일부 품목은 우편으로 발송되었습니다.	インベントリーの空き容量が不足しているため、一部のアイテムはメールに送られました。	Some items were sent to your Mailbox due to insufficient space in your Inventory.	由於背包空間不足，部分品項已透過信件發送。	由于物品背包空间不足，一些商品已发送至你的收件箱。
899	전투 서버와 연결이 원활하지 않아 요청을 수행할 수 없습니다.	戦闘サーバーとの接続が円滑ではないため実行できませんでした。	Cannot process the request due to poor network connection with the Combat server.	與戰鬥伺服器連線不穩，無法完成請求。	与战斗服务器连接不稳定，无法完成申请。
900	전투 서버와 연결이 원활하지 않아 진행할 수 없습니다. 타이틀 화면으로 돌아갑니다.	戦闘サーバーとの接続が円滑ではないため実行できませんでした。タイトル画面に戻ります。	Cannot continue due to poor network connection with the Combat server. Returning to title screen.	與戰鬥伺服器連線不穩，無法進行。將回到主頁面。	与战斗服务器连接不稳定，无法进行。回到主页面。
901	분해중입니다. 잠시만 기다려주세요.	分解中です。しばらくお待ちください。	Dismantling... Please wait.	正在分解中，請稍候。	正在分解中。请稍等。
902	강화포인트	強化ポイント	Upgrade Points	強化點數	强化点数
903	운용 비용	運用費用	Operation Cost	營運費用	运用费用
904	부대 운용 비용	部隊運用費用	Contingent Operation Cost	部隊營運費用	部队运营费用
905	탐사를 떠나면 선물을 받거나 수복이 불가능 합니다.	探索に行くとプレゼントを受けたり修復が不可能です。	You cannot receive gifts or do Recovery if you quit the Exploration.	在探查中無法領取禮物或進行修復。	在探查中无法领取礼物或进行修复。
906	탐사중인 스쿼드는 장비 장착/해제를 제외한 정보를 변경할 수 없습니다.	探索中の分隊は装備の装着/解除以外の情報を変更できません。	You cannot modify any details of a Squad currently in Exploration except for equipping and removing gear items.	探查中的小隊只能配戴／解除裝備，無法更改其他資訊。	探查中的小队只能佩戴／解除装备，无法更改其他信息。
907	보낸 요청	送った要請	Sent Requests	發出請求	发出申请
908	보낸 요청을 취소 하시겠습니까?	送った要請をキャンセルしますか？	Do you want to delete the request sent?	是否取消已發出的請求？	是否取消已发出的申请？
909	보낸 요청이 없습니다.	送った要請がありません。	You have no sent requests.	目前沒有發出請求。	目前没有发出申请。
910	장비 잠금	装備ロック	Lock Gear	鎖定裝備	锁定装备
911	잠금 해제	ロック解除	Unlock Gear	解鎖	解锁
912	수복필요	修復必要	Recovery Needed	需要修復	需要修复
913	중파	中破	Severely Injured	OK	严重损坏
914	장착 장비 숨기기	装着装備隠し	Hide Equipped Gear	隱藏配戴的裝備	隐藏佩戴的装备
915	강화 레벨	強化レベル	Upgrade Level	強化等級	强化等级
916	획득	獲得	Acquired	獲得	获得
917	종류	種類	Type	種類	种类
918	보조	補助	Auxiliary	輔助	辅助
919	전용	専用	Exclusive	專用	专用
920	전투원 승급	戦闘員を昇級	Promote Soldier	戰鬥員進階	战斗员升级
921	승급 전투원 선택	昇級戦闘員の選択	Select Soldier to promote	選擇進階戰鬥員	选择升级战斗员
922	승급시킬 전투원을 선택해 주세요.	昇級させる戦闘員を選択してください。	Select the soldier you want to promote.	請先選擇要進階的戰鬥員。	请先选择要升级的战斗员。
923	승급 [b2aaa5]조건[-]	昇級[b2aaa5]条件[-]	Upgrade [b2aaa5]Conditions[-]	進階[b2aaa5]條件[-]	升级[b2aaa5]条件[-]
924	■ 승급 대상인 전투원만 승급 목록에 출력됩니다.	■昇級対象である戦闘員のみ昇級リストに表示されます。	■ Only soldiers that are eligible for promotion are shown in the Promotion List.	■ 只有可進階的戰鬥員會顯示在升級目錄中。	■ 只有可升级的战斗员会显示在升级列表中。
925	■ 승급에 필요한 [ffcc00]레벨[-]과 [00c6ff]호감도[-] 조건을 만족하면 승급을 진행할 수 있습니다.	■昇級に必要な[ffcc00]レベル[-]と[00c6ff]好感度[-]条件を満たすと、昇級を進めることができます。	■ You can promote by satisfying the [ffcc00]level[-] and [00c6ff]Affinity[-] conditions needed for the promotion.	■ 必須達成進階所需[ffcc00]等級[-]和[00c6ff]好感度[-]條件才可進行進階。	■ 必须满足升级所需[ffcc00]等级[-]和[00c6ff]好感度[-]条件才可以进行升级。
926	■ 일부 캐릭터는 [ffcc00]SS등급[-]으로 승급 시, 승급 [ffcc00]전용 스킨[-]이 활성화됩니다.	■一部戦闘員は[ffcc00]SS等級[-]に昇級時、昇級[ffcc00]専用スキン[-]が解禁されます	When some characters are promoted to [ffcc00]SS Grade[-], the Promotion [ffcc00]Exclusive Skin[-] will be activated.	■ 部分角色進階到[ffcc00]SS級別[-]時，將啟用進階[ffcc00]專用造型[-]。	■ 一些角色升级到[ffcc00]SS级别[-]时，升级[ffcc00]专用皮肤[-]会开启。
927	승급에 필요한 조건을 달성하지 못했습니다.	昇級に必要な条件を達成することができませんでした。	You have not satisfied the promotion conditions.	尚未達到進階所需條件。	尚未达到升级所需条件。
928	호감도	好感度	Affinity	好感度	好感度
929	승급 시, 다음 자원이 소모 됩니다.	昇級時、次の資源が消費されます。	The following resources will be consumed when promoting.	進階時，會消耗以下資源。	升级时，会消耗以下资源。
930	승급을 진행 하시겠습니까?	昇級を行いますか?	Do you want to promote?	是否進行進階？	是否进行升级？
931	모든 승급이 완료된 전투원 입니다.	すべての昇級が完了した戦闘員です。	All promotions are complete for the selected soldier.	此戰鬥員已完成所有進階。	此战斗员已完成所有升级。
932	다음 승급이 개방되지 않은 전투원 입니다.	次の昇級が開放されていない戦闘員です。	Selected soldier's next promotion has not been unlocked.	此戰鬥員的下一次進階尚未開放。	此战斗员的下一次升级尚未开放。
933	스킬 레벨	スキルレベル	Skill Level	技能等級	技能等级
934	승급 대상	昇級対象	Character to Promote	進階對象	升级对象
935	Lv :	Lv :	Lv:	等級：	Lv：
936	호감도 :	好感度 :	Affinity:	好感度：	好感度：
946	신규 스킬	新規スキル	New Skill	新技能	新技能
947	전투입장	戦闘入場	Enter Combat	戰鬥入場	进入战斗
948	AP	AP	AP	AP	AP
949	스킬정보	スキル情報	Skill Info	技能資訊	技能信息
950	[c][ffcc00]FILE[-][/c] {0:00}	[c][ffcc00]FILE[-][/c] {0:00}	[c][ffcc00]FILE[-][/c] {0:00}	[c][ffcc00]檔案[-][/c] {0:00}	[c][ffcc00]档案[-][/c] {0:00}
951	CLEAR	CLEAR	CLEAR	通關	通关
952	[c][FFA820FF]LV.{0}[-][/c]	[c][FFA820FF]LV.{0}[-][/c]	[c][FFA820FF]Lv.{0}[-][/c]	[c][FFA820FF]等級{0}[-][/c]	[c][FFA820FF]Lv.{0}[-][/c]
953	승급 [b2aaa5]안내[-]	昇級[b2aaa5]案内[-]	Promote [b2aaa5]Details[-]	進階[b2aaa5]指南[-]	升级[b2aaa5]指南[-]
954	이벤트 보급 획득	イベント補給獲得	Event Supplies Acquired	獲得活動補給	获得活动补给
955	처분할 수 있는 상품이 없습니다.	処分できる商品はありません。	You have no products to dispose of.	目前沒有可以處理的商品。	目前没有可以处理的商品。
956	■ 슬롯 상단의 영구 코어화 버튼을 통해 전투원을 인벤토리에서 제외 시킬 수 있습니다.	■ スロット上段の永久コア化ボタンにより戦闘員をインベントリーから除外させることができます。	■ You can remove a soldier from your Inventory by pressing the Permanent Core button at the top of the slot.	■ 可以透過欄位上方的永久核心化按鍵，將戰鬥員從背包中移除。	■ 可以通过栏位上面的永久核心化键，将战斗员从背包中移除。
957	■ 영구 링크로 소모한 전투원은 대기실로 되돌릴 수 없으며, 슬롯 초기화 시 사라집니다.	■永久リンクに使用した戦闘員は待機室に戻すことはできず、スロット初期化時に消えます。	■ Soldier used for Permanent Link cannot be returned back to the Waiting Room and is permanently removed when you reset the Slot.	■ 因永久連結而被消耗的戰鬥員無法返回等候室，重置欄位時將會消失。	■ 因永久链接而被消耗的战斗员无法返回等候室，重置栏位时会消失。
958	"슬롯에 표기할 스킨을 선택해 주세요.
 보유하고 있는 스킨내에서 변경이 가능 합니다."	スロットに表示するスキンを選択してください。所持しているスキン内で変更可能です。	"Select the skin you want to show on the Slot.
 Skins can be changed with the skins that you currently own."	"請選擇要在欄位上顯示的造型。
只能以持有的造型進行變更。"	"请选择要在栏位上显示的皮肤。
只能更改为你持有的皮肤。"
959	코어링크 : 적합률 [c][FFA820FF]{0}%[-][/c]	コアリンク：適用率 [c][FFA820FF]{0}%[-][/c]	Core Link: Suitability [c][FFA820FF]{0}%[-][/c]	核心連結：合適率[c][FFA820FF]{0}%[-][/c]	核心链接：合适率[c][FFA820FF]{0}%[-][/c]
960	코어 링크에 사용되는 전투원 보존 여부를 선택해 주세요.	コアリンクに使用される戦闘員のリンク状態を選択してください。	Select whether you want to keep or remove the soldier used for the Core Link.	請選擇是否保留用於核心連結的戰鬥員。	请选择是否保留用于核心链接的战斗员。
961	[c][FFA820FF]영구 링크 시, 해당 전투원은 링크 보너스를 제공 하고 인벤토리에서 사라집니다.[-][/c]	[c][FFA820FF]永久リンクの際、当該戦闘員はリンクボーナスを提供してインベントリーから消えます。[-][/c]	[c][FFA820FF]If you select Permanent Link, the selected Soldier will yield a Link Bonus and be removed permanently from your Inventory.[-][/c]	[c][FFA820FF]永久連結時，會提供連結加成，並且該戰鬥員將從背包中消失。[-][/c]	[c][FFA821FF]永久链接时，该战斗员会提供链接奖励，并从背包中消失。[-][/c]
962	영구 링크	永久リンク	Permanent Link	永久連結	永久链接
963	보존	一時リンク	Keep	保留	保留
964	전투원 영구 링크 불가	戦闘員の永久リンク不可	Cannot permanently link the selected Soldier.	無法永久連結戰鬥員	无法永久链接战斗员
965	장비를 장착중인 전투원은 링크가 불가능 합니다. 해당 캐릭터 설정으로 이동 하시겠습니까?	装備を装着している戦闘員はリンクが不可能です。該当戦闘員設定に移動しますか?	Soldier equipped with gear cannot link. Do you want to open the settings menu for the selected character?	不能連結正在配戴裝備的戰鬥員。是否前往該角色設定？	佩戴着装备的战斗员不能链接。是否前往该角色设置？
966	대체 코어 설정	代用コア設定	Set Alternative Core	替代核心設定	备用核心设置
967	{0}을(를) 사용해 선택한 링크 슬롯에 적합률 [c][f0f0b3]100%[-][/c]인 대체 코어를 설정 합니다.	{0}を使用して選択したリンクスロットに適合率[c][f0f0b3]100%[-][/c]である代替コアを設定します。	Use {0} and set Alternative Core with [c][f0f0b3]100%[-][/c] Suitability in the selected slot.	將設定為使用{0}選擇的連結欄位合適率為[c][f0f0b3]100%[-][/c]的替代核心。	使用{0}选择链接栏位合适率为[c][f0f0b3]100%[-][/c]的备用核心。
968	[c][f0f0b3]대체 코어는 링크되는 전투원의 형상으로 변경되며 슬롯에 영구 링크 됩니다.[-][/c]	[c][f0f0b3]代替コアはリンクされる戦闘員の形状に変更され、スロットに永久リンクします。[-][/c]	[c][f0f0b3]Alternative Core will change into the shape of the linked soldier and will be linked permanently to the slot.[-][/c]	[c][f0f0b3]替代核心會變成所連結的戰鬥員形態，並永久連結到相應欄位。[-][/c]	[c][f0f0b3]备用核心会变成所链接战斗员的形态，并永久链接到相应栏位。[-][/c]
969	링크 방식 설정	リンク方式を設定	Set Link Method	連結方式設定	链接方式设置
970	해당 전투원을 영구 링크 하시겠습니까?	該当戦闘員を永久リンクしますか?	Do you want to permanently link the selected Soldier?	是否將此戰鬥員永久連結？	是否将此战斗员永久链接？
971	풀 링크 보너스 설정	フルリンクボーナス設定	Set Full Link Bonus	全連結加成設定	全链接加成设置
972	"풀 링크 보너스는 [c][f0f0b3]1종만 선택[-][/c]할 수 있습니다.
 해당 기능을 풀 링크 보너스로 설정 하시겠습니까?"	"フルリンクボーナスは[c][f0f0b3]1種のみ選択[-][/c]することができます。
 
 該当機能をフルリンクボーナスで設定しますか?"	"You can select [c][f0f0b3]1 type[-][/c] for full link bonus.
 Do you want to choose the selected function for the full link bonus?"	"全連結加成只能[c][f0f0b3]選擇一種[-][/c]。
是否將此功能設定為全連結加成？"	"全链接加成只能[c][f0f0b3]选择一种[-][/c]。
是否将此功能设置为全链接加成？"
